"id","startDate","endDate","boat","product","departurePort","arrivalPort","tripStatus","availableSpaces","bookedSpaces","optionSpaces","price","parentPrice"
13560,"2025-06-22","2025-06-29","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,22,2,"1499.00","2998.00"
6176,"2025-06-23","2025-06-30","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",0,16,0,"",""
26973,"2025-06-23","2025-06-25","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",7,5,0,"630.00",""
32618,"2025-06-24","2025-06-29","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Confirmed",8,0,0,"678.00",""
17350,"2025-06-26","2025-07-06","Sea Hunter","Cocos Island","Puntarenas","Puntarenas","Confirmed",0,19,0,"6990.00",""
15672,"2025-06-26","2025-07-03","Heaven Saphir","Southern Route – St. John’s","Port Ghalib","Port Ghalib","Confirmed",0,0,20,"1600.00",""
32538,"2025-06-26","2025-06-30","The Junk","Southern Thailand","Chalong Pier","Chalong Pier","Confirmed",10,6,2,"640.00","800.00"
13088,"2025-06-27","2025-07-04","Black Pearl","Best of Palau 7 nights","Malakal","Malakal","Confirmed",0,24,0,"",""
26936,"2025-06-27","2025-06-30","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",11,0,1,"840.00",""
22926,"2025-06-27","2025-07-04","Indo Master","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",18,0,0,"",""
6674,"2025-06-28","2025-07-05","Palau Siren","Palau Islands","Koror","Koror","Confirmed",0,16,0,"",""
28450,"2025-06-28","2025-07-03","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,0,9,"",""
18160,"2025-06-28","2025-07-05","Blue Horizon","Best of the Red Sea","Port Ghalib","Port Ghalib","Confirmed",0,26,0,"",""
26350,"2025-06-28","2025-07-05","Blue Melody","Brothers, Daedalus & Elphinstone","Hurghada","Port Ghalib","Confirmed",0,24,0,"1053.50","1505.00"
22801,"2025-06-29","2025-07-06","Adora","Best of Maldives 7Nights","Male","Male","Not confirmed",1,2,0,"2772.00",""
13561,"2025-06-29","2025-07-06","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,22,0,"1499.00","2998.00"
6910,"2025-06-29","2025-07-09","Solomons Master","Best of the Solomons","Honiara","Honiara","Confirmed",0,16,0,"6350.00",""
6177,"2025-06-30","2025-07-07","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",8,8,0,"6069.00","7140.00"
22384,"2025-06-30","2025-07-10","Horizon-2 Surf Safari","Northern Atolls Male","Male","Male","Confirmed",8,3,1,"2962.00",""
6814,"2025-07-01","2025-07-11","Philippine Siren","Malapascua & Visayas","Mactan","Mactan","Confirmed",4,12,0,"4300.00",""
6240,"2025-07-01","2025-07-11","Pacific Master","Bikini Atoll","Kwajalein","Kwajalein","Confirmed",0,15,0,"",""
15303,"2025-07-01","2025-07-07","Carpe Diem Phinisi","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",1,6,1,"2619.00","2910.00"
33690,"2025-07-01","2025-07-06","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
26974,"2025-07-02","2025-07-04","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",10,2,0,"630.00",""
15673,"2025-07-03","2025-07-10","Heaven Saphir","Daedalus Reef – St. John's - Elphinstone","Port Ghalib","Port Ghalib","Not confirmed",20,0,0,"1620.00",""
32540,"2025-07-03","2025-07-06","The Junk","Southern Explorer","Chalong Pier","Chalong Pier","Confirmed",3,13,0,"590.00",""
13089,"2025-07-04","2025-07-11","Black Pearl","Palau Snapper Spawning (Full moon)","Malakal","Malakal","Confirmed",18,4,2,"2970.00","3960.00"
6675,"2025-07-05","2025-07-12","Palau Siren","Agent FAM Trip","Koror","Koror","Confirmed",1,14,0,"750.00",""
