"id","startDate","endDate","boat","product","departurePort","arrivalPort","tripStatus","availableSpaces","bookedSpaces","optionSpaces","price","parentPrice"
6244,"2025-08-22","2025-09-04","Pacific Master","Bikini Atoll","Kwajalein","Kwajalein","Confirmed",5,13,0,"7605.00",""
6680,"2025-08-23","2025-09-02","Palau Siren","Palau Islands","Koror","Koror","Confirmed",7,9,0,"4280.00","5350.00"
18167,"2025-08-23","2025-08-30","Blue Horizon","Northern Red Sea Wrecks & Reefs","Hurghada","Hurghada","Confirmed",0,25,1,"1295.00",""
42370,"2025-08-23","2025-08-30","Blue Melody","Brothers, Daedalus & Elphinstone","Hurghada","Hurghada","Confirmed",26,0,0,"",""
20487,"2025-08-24","2025-09-04","Calico Jack","Cenderawasih Bay - Nabire -  Manokwari","Nabire","Monokwari","Confirmed",8,0,2,"5100.00",""
13569,"2025-08-24","2025-08-31","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",18,6,0,"1499.00","2998.00"
22389,"2025-08-24","2025-09-03","Horizon-2 Surf Safari","Male - Thaa - Dhaalu - Meemu - Laamu - Huvadhoo","Male","Huvadhoo","Confirmed",0,12,0,"",""
15050,"2025-08-24","2025-08-27","White Pearl","Best of Central Atolls 3 nights","Male","Male","Confirmed",23,1,2,"1500.00",""
33698,"2025-08-24","2025-08-29","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
6185,"2025-08-25","2025-09-01","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",6,8,1,"6069.00","7140.00"
6915,"2025-08-25","2025-09-04","Solomons Master","Best of the Solomons","Honiara","Honiara","Confirmed",0,16,0,"",""
26980,"2025-08-25","2025-08-27","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",7,5,0,"630.00",""
13096,"2025-08-26","2025-09-02","Black Pearl","Best of Palau 7 nights","Malakal","Malakal","Confirmed",22,2,0,"2970.00","3960.00"
36735,"2025-08-27","2025-08-31","White Pearl","Best of Central Atoll 4 nights","Male","Male","Not confirmed",0,0,26,"",""
15681,"2025-08-28","2025-09-04","Heaven Saphir","North + Tiran Wrecks & Reefs","Hurghada","Hurghada","Confirmed",0,20,0,"",""
